map_name,ID,Scientific_name,Family,original_matrix_name,matrix_name,publication_name,height,length,width,ratio
syzygium_masukuense.shp,1295,Syzygium_masukuense_subsp._pachyphyllum,Myrtaceae,Syzygium_masukuense_pachyphyllum_Genbank,Syzygium_masukuense_pachyphyllum_Genbank,Syzygium_masukuense_(Baker)_R.E.Fr.,20,11,5,2.2
tabernaemontana_elegans.shp,1962,Tabernaemontana_elegans,Apocynaceae,Tabernaemontana_elegans_OM2144,Tabernaemontana_elegans_OM2144,Tabernaemontana_elegans_Stapf,10,20,7,2.86
tabernaemontana_ventricosa.shp,1964,Tabernaemontana_ventricosa,Apocynaceae,Tabernaemontana_ventricosa_OM2235,Tabernaemontana_ventricosa_OM2235,Tabernaemontana_ventricosa_Hochst._ex_A.DC.,25,17,6,2.83
tacazzea_apiculata.shp,1965,Tacazzea_apiculata,Apocynaceae,Tacazzea_apiculata_Genbank,Tacazzea_apiculata_Genbank,Tacazzea_apiculata_Oliv.,20,8,5,1.6
tamarindus_indica.shp,1031,Tamarindus_indica,Fabaceae,Tamarindus_indica_OM2447,Tamarindus_indica_OM2447,Tamarindus_indica_L.,24,3.2,1.1,2.91
tamarix_usneoides.shp,1770,Tamarix_usneoides,Tamaricaceae,Tamarix_usneoides_MWC28701,Tamarix_usneoides_MWC28701,Tamarix_usneoides_E.Mey._ex_Bunge,5,0.4,0.2,2
tannodia_swynnertonii.shp,570,Tannodia_swynnertonii,Euphorbiaceae,Tannodia_swynnertonii_OM1858,Tannodia_swynnertonii_OM1858,Tannodia_swynnertonii_(S.Moore)_Prain,20,13,7,1.86
tapura_fischeri.shp,410,Tapura_fischeri,Dichapetalaceae,Tapura_fisheri_OM3496,Tapura_fisheri_OM3496,Tapura_fischeri_Engl.,20,6.5,3,2.17
tarchonanthus_camphoratus.shp,2444,Tarchonanthus_camphoratus,Asteraceae,Tarchonanthus_camphoratus_OM1515,Tarchonanthus_camphoratus_OM1515,Tarchonanthus_camphoratus_L.,9,15,4,3.75
tarchonanthus_trilobus_trilobus.shp,2450,Tarchonanthus_trilobus_var._trilobus,Asteraceae,Tarchonanthus_trilobus_OM3270,Tarchonanthus_trilobus_OM3270,Tarchonanthus_trilobus_DC.,10,20,9,2.22
teclea_gerrardii.shp,1671,Teclea_gerrardii,Rutaceae,Teclea_gerrardii_Abbott9183,Teclea_gerrardii_Abbott9183,Teclea_gerrardii_Verd.,6,10,4,2.5
teclea_natelensis.shp,1673,Teclea_natalensis,Rutaceae,Teclea_natalensis_Abbott9193,Teclea_natalensis_Abbott9193,Teclea_natalensis_Engl.,8,15,4,3.75
tecomaria_capensis_capensis.shp,2233,Tecomaria_capensis_subsp._capensis,Bignoniaceae,Tecomaria_capensis_OM454,Tecomaria_capensis_OM454,Tecoma_capensis_(Thunb.)_Lindl.,4,7,3,2.33
tephrosia_pondoensis.shp,1034,Tephrosia_pondoensis,Fabaceae,Tephrosia_pondoensis_Abbott9232,Tephrosia_pondoensis_Abbott9232,Tephrosia_pondoensis_(Codd)_Schrire,5,3,0.8,3.75
terenna_pavettoides.shp,2164,Tarenna_pavettoides_subsp._pavettoides,Rubiaceae,Tarenna_pavettoides_Abbott9247,Tarenna_pavettoides_Abbott9247,Tarenna_pavettoides_(Harv.)_Sim,10,20,8,2.5
terminalia_brachystemma_brachystemma.shp,1232,Terminalia_brachystemma_subsp._brachystemma,Combretaceae,Terminalia_brachystemma_OM_MvdB18,Terminalia_brachystemma_OM_MvdB18,Terminalia_brachystemma_Welw._ex_Hiern,10,15,7,2.14
terminalia_mollis.shp,1235,Terminalia_mollis,Combretaceae,Terminalia_mollis_OM1032,Terminalia_mollis_OM1032,Terminalia_mollis_M.A.Lawson,15,32,13,2.46
terminalia_phanerophlebia.shp,1236,Terminalia_phanerophlebia,Combretaceae,Terminalia_phanerophlebia_OM1191,Terminalia_phanerophlebia_OM1191,Terminalia_phanerophlebia_Engl._&_Diels,6,13,7.5,1.73
terminalia_prunioides.shp,1237,Terminalia_prunioides,Combretaceae,Terminalia_prunioides_OM1061,Terminalia_prunioides_OM1061,Terminalia_prunioides_M.A.Lawson,13,7,3,2.33
terminalia_randii.shp,1238,Terminalia_randii,Combretaceae,Terminalia_randii_OM2115,Terminalia_randii_OM2115,Terminalia_randii_Baker_f.,10,2.5,1.2,2.08
terminalia_sambesiaca.shp,1239,Terminalia_sambesiaca,Combretaceae,Terminalia_sambesiaca_OM2392,Terminalia_sambesiaca_OM2392,Terminalia_sambesiaca_Engl._&_Diels,25,18,13,1.38
terminalia_sericea.shp,1240,Terminalia_sericea,Combretaceae,Terminalia_sericea_OM1037,Terminalia_sericea_OM1037,Terminalia_sericea_Burch._ex_DC.,10,12,4.5,2.67
terminalia_stenostachya.shp,1241,Terminalia_stenostachya,Combretaceae,Terminalia_stenostachya_OM2059,Terminalia_stenostachya_OM2059,Terminalia_stenostachya_Engl._&_Diels,10,18,7.5,2.4
terminalia_trichopoda.shp,1243,Terminalia_trichopoda,Combretaceae,Terminalia_trichopoda_OM1657,Terminalia_trichopoda_OM1657,Terminalia_trichopoda_Diels,10,18,7,2.57
tetradenia_riparia.shp,2265,Tetradenia_riparia,Lamiaceae,Tetradenia_riparia_OM881,Tetradenia_riparia_OM881,Tetradenia_riparia_(Hochst.)_Codd,5,10,9,1.11
thamnocalamus_tesselatus.shp,145,Thamnocalamus_tessellatus,Poaceae,Thamnocalamus_tesselatus_OM2308,Thamnocalamus_tesselatus_OM2308,Thamnocalamus_tessellatus_(Nees)_Soderstr._&_R.P.Ellis,4,5,1,5
thespesia_acutiloba.shp,1443,Thespesia_acutiloba,Malvaceae,Thespesia_acutiloba_OM2492,Thespesia_acutiloba_OM2492,Thespesia_acutiloba_(Baker_f.)_Exell_&_Mendonca,6,7,6,1.17
thilachium_africanum.shp,1357,Thilachium_africanum,Capparaceae,Thilachium_africanum_OM2549,Thilachium_africanum_OM2549,Thilachium_panduriforme_(Lam.)_Juss.,5,10,4.5,2.22
tiliacora_funifera.shp,151,Tiliacora_funifera,Menispermaceae,Tiliacora_funifera_OM2328,Tiliacora_funifera_OM2328,Tiliacora_funifera_(Miers)_Oliv.,20,20,10,2
tinnea_barbata.shp,2266,Tinnea_barbata,Lamiaceae,Tinnea_barbata_OM2288,Tinnea_barbata_OM2288,Tinnea_barbata_Vollesen_,4,4.5,2.5,1.8
tinnea_rhodesiana.shp,2267,Tinnea_rhodesiana,Lamiaceae,Tinnea_rhodesiana_RBN143,Tinnea_rhodesiana_RBN143,Tinnea_rhodesiana_S.Moore,2,1.5,0.7,2.14
tinospora_caffra.shp,152,Tinospora_caffra,Menispermaceae,Tinospora_caffra_OM2373,Tinospora_caffra_OM2373,Tinospora_caffra_(Miers)_Troupin,10,6,8,0.75
tinospora_tenara.shp,154,Tinospora_tenera,Menispermaceae,Tinospora_tenera_OM1369,Tinospora_tenera_OM1369,Tinospora_tenera_Miers,2,7,9,0.78
toddalya_asiatica.shp,1677,Toddalia_asiatica,Rutaceae,Toddalya_asiatica_OM2688,Toddalya_asiatica_OM2688,Toddalia_asiatica_(L.)_Lam.,12,8,3,2.67
trema_orientalis.shp,1165,Trema_orientalis,Ulmaceae,Trema_orientalis_OM2500,Trema_orientalis_OM2500,Trema_orientalis_(L.)_Blume,13,20,5,4
triaspis_glaucophylla.shp,580,Triaspis_glaucophylla,Malpighiaceae,Triaspis_glaucophylla_OM2003,Triaspis_glaucophylla_OM2003,Triaspis_glaucophylla_Engl.,5,5,5.2,0.96
triaspis_hypericoides_nelsonii.shp,581,Triaspis_hypericoides,Malpighiaceae,Triaspis_hypericoides_nelsonii_OM1336,Triaspis_hypericoides_nelsonii_OM1336,Triaspis_hypericoides_Burch.,3,5.7,3,1.9
tricalisia_coriacea.shp,2043,Empogona_coriacea,Rubiaceae,Empogona_coriacea_OM3281,Empogona_coriacea_OM3281,Empogona_coriacea_(Sond.)_Tosh_&_Robbr.,6,20,4,5
tricalisia_junodii.shp,2044,Empogona_kirkii_subsp._junodii,Rubiaceae,Empogona_junodii_kirkii_OM1601,Empogona_junodii_kirkii_OM1601,Empogona_kirkii_subsp._junodii_(Schinz)_Tosh_&_Robbr.,4,8.5,4.5,1.89
tricalisia_lanceolata.shp,2045,Empogona_lanceolata,Rubiaceae,Empogona_lanceolata_MWC24261,Empogona_lanceolata_MWC24261,Empogona_lanceolata_(Sond.)_Tosh_&_Robbr.,6,12,4,3
tricalysia_capensis.shp,2168,Tricalysia_capensis,Rubiaceae,Tricalysia_capensis_Abbott9182,Tricalysia_capensis_Abbott9182,Tricalysia_capensis_(Meisn._ex_Hochst.)_Sim,7,12,4.5,2.67
tricalysia_delagoensis.shp,2171,Tricalysia_delagoensis,Rubiaceae,Tricalysia_delagoensis_MWC24252,Tricalysia_delagoensis_MWC24252,Tricalysia_delagoensis_Schinz,5,11,4,2.75
tricalysia_jasminiflora.shp,2174,Tricalysia_jasminiflora_var._jasminiflora,Rubiaceae,Tricalysia_jasminiflora_OM2340,Tricalysia_jasminiflora_OM2340,Tricalysia_jasminiflora_(Klotzsch)_Benth._&_Hook.f._ex_Hiern,7,13,6,2.17
trichilia_capitata.shp,1648,Trichilia_capitata,Meliaceae,Trichilia_capitata_OM2460,Trichilia_capitata_OM2460,Trichilia_capitata_Klotzsch,15,11.5,5,2.3
